公告,#genre#
更新日期,https://gitlab.com/lr77/IPTV/-/raw/main/%E4%B8%BB%E8%A7%92.mp4
2026-09-17 12:05:05,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4
4K频道,#genre#
CCTV4K,http://112.66.136.235:8888/rtp/239.253.64.48:5140
CCTV16 4K,http://112.66.136.235:8888/rtp/239.253.64.126:5140
北京卫视4K,http://112.66.136.235:8888/rtp/239.253.64.92:5140
东方卫视4K,http://112.66.136.235:8888/rtp/239.253.64.63:5140
广东卫视4K,http://112.66.136.235:8888/rtp/239.253.64.96:5140
深圳卫视4K,http://112.66.136.235:8888/rtp/239.253.64.95:5140
湖南卫视4K,http://112.66.136.235:8888/rtp/239.253.64.60:5140
山东卫视4K,http://112.66.136.235:8888/rtp/239.253.64.65:5140
四川卫视4K,http://112.66.136.235:8888/rtp/239.253.64.64:5140
浙江卫视4K,http://112.66.136.235:8888/rtp/239.253.64.62:5140
江苏卫视4K,http://112.66.136.235:8888/rtp/239.253.64.61:5140
爱上4K,http://112.66.136.235:8888/rtp/239.253.64.243:5140
爱上4K,http://112.66.136.235:8888/rtp/239.253.64.49:5140
CCTV4K,http://112.66.141.124:8888/rtp/239.253.64.48:5140
CCTV16 4K,http://112.66.141.124:8888/rtp/239.253.64.126:5140
北京卫视4K,http://112.66.141.124:8888/rtp/239.253.64.92:5140
东方卫视4K,http://112.66.141.124:8888/rtp/239.253.64.63:5140
广东卫视4K,http://112.66.141.124:8888/rtp/239.253.64.96:5140
深圳卫视4K,http://112.66.141.124:8888/rtp/239.253.64.95:5140
湖南卫视4K,http://112.66.141.124:8888/rtp/239.253.64.60:5140
山东卫视4K,http://112.66.141.124:8888/rtp/239.253.64.65:5140
四川卫视4K,http://112.66.141.124:8888/rtp/239.253.64.64:5140
浙江卫视4K,http://112.66.141.124:8888/rtp/239.253.64.62:5140
江苏卫视4K,http://112.66.141.124:8888/rtp/239.253.64.61:5140
爱上4K,http://112.66.141.124:8888/rtp/239.253.64.243:5140
爱上4K,http://112.66.141.124:8888/rtp/239.253.64.49:5140
CCTV4K,http://119.41.37.44:10000/rtp/239.253.64.48:5140
CCTV16 4K,http://119.41.37.44:10000/rtp/239.253.64.126:5140
北京卫视4K,http://119.41.37.44:10000/rtp/239.253.64.92:5140
东方卫视4K,http://119.41.37.44:10000/rtp/239.253.64.63:5140
广东卫视4K,http://119.41.37.44:10000/rtp/239.253.64.96:5140
深圳卫视4K,http://119.41.37.44:10000/rtp/239.253.64.95:5140
湖南卫视4K,http://119.41.37.44:10000/rtp/239.253.64.60:5140
山东卫视4K,http://119.41.37.44:10000/rtp/239.253.64.65:5140
四川卫视4K,http://119.41.37.44:10000/rtp/239.253.64.64:5140
